0,9175
1,2025
2,833
3,575
4,443
5,594
6,293
7,165
8,165
9,138
10,267
11,105
12,84
13,65
14,58
15,47
16,44
17,38
18,30
19,35
20,19
21,73
22,32
23,23
24,21
25,14
26,20
27,10
28,15
29,7
30,10
31,11
32,3
33,5
34,5
35,11
36,8
37,6
38,7
39,13
40,4
41,7
42,3
43,5
44,5
45,5
46,5
47,5
48,6
49,5
50,3
52,1
53,4
54,2
55,3
57,1
58,3
59,2
60,3
61,5
62,1
64,2
65,2
66,2
68,1
69,3
70,2
71,2
72,3
75,1
77,1
78,1
80,1
82,1
83,1
84,1
85,1
88,1
93,1
94,1
97,1
99,1
100,1
101,1
107,1
110,1
115,1
123,1
136,1
143,1
152,1
156,1
168,1
10928,1
190,1
203,1
207,1
214,1
248,1
249,2
250,1
259,5
260,1
261,1
344,1
67,1
