foia,request_date,due_dat,execute_dat,delta_days,compliant
12-0083 , 2012-01-10 , 2012-01-17 , 2012-01-20 , 10 , False
12-0084 , 2012-01-10 , 2012-01-17 , 2012-01-18 , 8 , False
12-0085 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0086 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0087 , 2012-01-10 , 2012-01-17 , 2012-01-12 , 2 , True
12-0088 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0089 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0090 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0091 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0092 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0094 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0095 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0096 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0097 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0098 , 2012-01-10 , 2012-01-17 , 2012-01-10 , 0 , True
12-0099 , 2012-01-11 , 2012-01-18 , 2012-01-19 , 8 , False
12-0100 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0101 , 2012-01-11 , 2012-01-18 , 2012-01-12 , 1 , True
12-0102 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0103 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0104 , 2012-01-11 , 2012-01-18 , 2012-01-12 , 1 , True
12-0105 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0106 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0107 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0108 , 2012-01-11 , 2012-01-18 , 2012-01-24 , 13 , False
12-0109 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0110 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0111 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0112 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0113 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0114 , 2012-01-11 , 2012-01-18 , 2012-01-26 , 15 , False
12-0115 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0116 , 2012-01-11 , 2012-01-18 , 2012-01-11 , 0 , True
12-0117 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0118 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0119 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0120 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0121 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0122 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
12-0123 , 2012-01-12 , 2012-01-19 , 2012-01-12 , 0 , True
