foia,request_date,due_dat,execute_dat,delta_days,compliant
12-1103 , 2012-03-29 , 2012-04-05 , 2012-03-29 , 0 , True
12-1104 , 2012-03-29 , 2012-04-05 , 2012-03-29 , 0 , True
12-1105 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1106 , 2012-03-30 , 2012-04-06 , 2012-04-05 , 6 , False
12-1107 , 2012-03-30 , 2012-04-06 , 2012-04-11 , 12 , False
12-1108 , 2012-03-30 , 2012-04-06 , 2012-04-10 , 11 , False
12-1109 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1110 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1111 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1112 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1113 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1114 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1115 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1116 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1117 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1118 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1119 , 2012-03-30 , 2012-04-06 , 2012-04-04 , 5 , True
12-1120 , 2012-03-30 , 2012-04-06 , 2012-04-06 , 7 , False
12-1121 , 2012-03-30 , 2012-04-06 , 2012-03-03 , -27 , True
12-1122 , 2012-03-30 , 2012-04-06 , 2012-04-03 , 4 , True
12-1123 , 2012-03-30 , 2012-04-06 , 2012-04-10 , 11 , False
12-1124 , 2012-03-30 , 2012-04-06 , 2012-04-05 , 6 , False
12-1125 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1126 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1127 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1128 , 2012-03-30 , 2012-04-06 , 2012-04-10 , 11 , False
12-1129 , 2012-03-30 , 2012-04-06 , 2012-03-30 , 0 , True
12-1130 , 2012-04-02 , 2012-04-09 , 2012-04-02 , 0 , True
12-1131 , 2012-04-02 , 2012-04-09 , 2012-04-03 , 1 , True
12-1132 , 2012-04-02 , 2012-04-09 , 2012-04-03 , 1 , True
12-1133 , 2012-04-02 , 2012-04-09 , 2012-04-04 , 2 , True
12-1134 , 2012-04-02 , 2012-04-09 , 2012-04-09 , 7 , False
12-1135 , 2012-04-02 , 2012-04-09 , 2012-04-02 , 0 , True
12-1136 , 2012-04-02 , 2012-04-09 , 2012-04-02 , 0 , True
12-1137 , 2012-04-02 , 2012-04-09 , 2012-04-02 , 0 , True
12-1138 , 2012-04-02 , 2012-04-09 , 2012-04-02 , 0 , True
12-1139 , 2012-04-02 , 2012-04-09 , 2012-04-02 , 0 , True
12-1140 , 2012-04-02 , 2012-04-09 , 2012-04-02 , 0 , True
12-1141 , 2012-04-02 , 2012-04-09 , 2012-04-04 , 2 , True
12-1142 , 2012-04-02 , 2012-04-09 , 2012-04-05 , 3 , True
12-1143 , 2012-04-02 , 2012-04-09 , 2012-04-03 , 1 , True
12-1144 , 2012-04-02 , 2012-04-09 , 2012-04-02 , 0 , True
12-1145 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1146 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1147 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1148 , 2012-04-03 , 2012-04-10 , 2012-04-05 , 2 , True
12-1149 , 2012-04-03 , 2012-04-10 , 2012-04-04 , 1 , True
12-1150 , 2012-04-03 , 2012-04-10 , 2012-04-04 , 1 , True
12-1151 , 2012-04-03 , 2012-04-10 , 2012-04-04 , 1 , True
12-1152 , 2012-04-03 , 2012-04-10 , 2012-04-04 , 1 , True
12-1153 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1154 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1155 , 2012-04-03 , 2012-04-10 , 2012-04-04 , 1 , True
12-1156 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1157 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1158 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1159 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1160 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1161 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1162 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1163 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1164 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1165 , 2012-04-03 , 2012-04-10 , 2012-04-03 , 0 , True
12-1166 , 2012-04-02 , 2012-04-09 , 2012-04-09 , 7 , False
12-1167 , 2012-04-02 , 2012-04-09 , 2012-04-09 , 7 , False
12-1168 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1169 , 2012-04-04 , 2012-04-11 , 2012-04-09 , 5 , True
12-1170 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1171 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1172 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1173 , 2012-04-04 , 2012-04-11 , 2012-04-11 , 7 , False
12-1174 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1175 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1176 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1177 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1178 , 2012-04-04 , 2012-04-11 , 2012-04-11 , 7 , False
12-1179 , 2012-04-04 , 2012-04-11 , 2012-04-09 , 5 , True
12-1180 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1181 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1182 , 2012-04-04 , 2012-04-11 , 2012-04-04 , 0 , True
12-1183 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1184 , 2012-04-05 , 2012-04-12 , 2012-04-11 , 6 , False
12-1185 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1186 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1187 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1188 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1189 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1190 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1191 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1192 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1193 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1194 , 2012-04-05 , 2012-04-12 , 2012-04-16 , 11 , False
12-1195 , 2012-04-05 , 2012-04-12 , 2012-04-06 , 1 , True
12-1196 , 2012-04-05 , 2012-04-12 , 2012-04-05 , 0 , True
12-1197 , 2012-04-05 , 2012-04-12 , 2012-04-09 , 4 , True
12-1198 , 2012-04-05 , 2012-04-12 , 2012-04-09 , 4 , True
12-1199 , 2012-04-06 , 2012-04-13 , 2012-04-06 , 0 , True
12-1200 , 2012-04-06 , 2012-04-13 , 2012-04-06 , 0 , True
12-1201 , 2012-04-06 , 2012-04-13 , 2012-04-06 , 0 , True
12-1202 , 2012-04-06 , 2012-04-13 , 2012-04-09 , 3 , True
12-1203 , 2012-04-06 , 2012-04-13 , 2012-04-09 , 3 , True
12-1204 , 2012-04-06 , 2012-04-13 , 2012-04-06 , 0 , True
12-1205 , 2012-04-06 , 2012-04-13 , 2012-04-09 , 3 , True
12-1206 , 2012-04-06 , 2012-04-13 , 2012-04-06 , 0 , True
12-1207 , 2012-04-06 , 2012-04-13 , 2012-04-10 , 4 , True
12-1208 , 2012-04-06 , 2012-04-13 , 2012-04-16 , 10 , False
12-1209 , 2012-04-06 , 2012-04-13 , 2012-04-13 , 7 , False
12-1210 , 2012-04-06 , 2012-04-13 , 2012-04-09 , 3 , True
12-1211 , 2012-04-06 , 2012-04-13 , 2012-04-13 , 7 , False
12-1212 , 2012-04-06 , 2012-04-13 , 2012-04-11 , 5 , True
12-1213 , 2012-04-06 , 2012-04-13 , 2012-04-11 , 5 , True
12-1214 , 2012-04-06 , 2012-04-13 , 2012-04-18 , 12 , False
12-1215 , 2012-04-06 , 2012-04-13 , 2012-04-09 , 3 , True
12-1216 , 2012-04-06 , 2012-04-13 , 2012-04-13 , 7 , False
12-1217 , 2012-04-06 , 2012-04-13 , 2012-04-11 , 5 , True
12-1218 , 2012-04-06 , 2012-04-13 , 2012-04-09 , 3 , True
12-1219 , 2012-04-06 , 2012-04-13 , 2012-04-09 , 3 , True
12-1220 , 2012-04-06 , 2012-04-13 , 2012-04-11 , 5 , True
12-1221 , 2012-04-09 , 2012-04-16 , 2012-04-16 , 7 , False
12-1222 , 2012-04-09 , 2012-04-16 , 2012-04-09 , 0 , True
12-1223 , 2012-04-09 , 2012-04-16 , 2012-04-09 , 0 , True
12-1224 , 2012-04-09 , 2012-04-16 , 2012-04-19 , 10 , False
12-1225 , 2012-04-09 , 2012-04-16 , 2012-04-12 , 3 , True
12-1226 , 2012-04-09 , 2012-04-16 , 2012-04-09 , 0 , True
12-1227 , 2012-04-09 , 2012-04-16 , 2012-04-09 , 0 , True
12-1228 , 2012-04-09 , 2012-04-16 , 2012-04-17 , 8 , False
12-1229 , 2012-04-09 , 2012-04-16 , 2012-04-09 , 0 , True
12-1230 , 2012-04-09 , 2012-04-16 , 2012-04-11 , 2 , True
12-1231 , 2012-04-09 , 2012-04-16 , 2012-04-10 , 1 , True
12-1232 , 2012-04-09 , 2012-04-16 , 2012-04-09 , 0 , True
12-1233 , 2012-04-09 , 2012-04-16 , 2012-04-09 , 0 , True
12-1234 , 2012-04-09 , 2012-04-16 , 2012-04-09 , 0 , True
12-1235 , 2012-04-09 , 2012-04-16 , 2012-04-09 , 0 , True
12-1236 , 2012-04-10 , 2012-04-17 , 2012-04-24 , 14 , False
12-1237 , 2012-04-10 , 2012-04-17 , 2012-04-19 , 9 , False
12-1238 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1239 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1240 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1241 , 2012-04-10 , 2012-04-17 , 2012-04-12 , 2 , True
12-1242 , 2012-04-10 , 2012-04-17 , 2012-04-17 , 7 , False
12-1243 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1244 , 2012-04-10 , 2012-04-17 , 2012-04-16 , 6 , False
12-1245 , 2012-04-10 , 2012-04-17 , 2012-04-11 , 1 , True
12-1246 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1247 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1248 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1250 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1251 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1252 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1253 , 2012-04-10 , 2012-04-17 , 2012-04-23 , 13 , False
12-1254 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1255 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1256 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1257 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1258 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1259 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1260 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1261 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1262 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1263 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1264 , 2012-04-10 , 2012-04-17 , 2012-04-10 , 0 , True
12-1265 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1266 , 2012-04-11 , 2012-04-18 , 2012-04-18 , 7 , False
12-1267 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1268 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1269 , 2012-04-11 , 2012-04-18 , 2012-04-12 , 1 , True
12-1270 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1271 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1272 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1273 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1274 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1275 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1276 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1277 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1278 , 2012-04-11 , 2012-04-18 , 2012-04-17 , 6 , False
12-1279 , 2012-04-11 , 2012-04-18 , 2012-04-25 , 14 , False
12-1280 , 2012-04-09 , 2012-04-16 , 2012-04-11 , 2 , True
12-1281 , 2012-04-11 , 2012-04-18 , 2012-04-12 , 1 , True
12-1282 , 2012-04-11 , 2012-04-18 , 2012-04-12 , 1 , True
12-1283 , 2012-04-11 , 2012-04-18 , 2012-04-12 , 1 , True
12-1284 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1285 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1286 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1287 , 2012-04-11 , 2012-04-18 , 2012-04-12 , 1 , True
12-1288 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1289 , 2012-04-11 , 2012-04-18 , 2012-04-20 , 9 , False
12-1290 , 2012-04-11 , 2012-04-18 , 2012-04-11 , 0 , True
12-1291 , 2012-04-12 , 2012-04-19 , 2012-04-17 , 5 , True
12-1292 , 2012-04-12 , 2012-04-19 , 2012-04-12 , 0 , True
12-1293 , 2012-04-12 , 2012-04-19 , 2012-04-18 , 6 , False
12-1294 , 2012-04-12 , 2012-04-19 , 2012-04-24 , 12 , False
12-1295 , 2012-04-12 , 2012-04-19 , 2012-04-16 , 4 , True
12-1296 , 2012-04-12 , 2012-04-19 , 2012-04-12 , 0 , True
12-1297 , 2012-04-12 , 2012-04-19 , 2012-04-12 , 0 , True
12-1298 , 2012-04-12 , 2012-04-19 , 2012-04-12 , 0 , True
12-1299 , 2012-04-12 , 2012-04-19 , 2012-04-12 , 0 , True
12-1300 , 2012-04-12 , 2012-04-19 , 2012-04-12 , 0 , True
12-1301 , 2012-04-12 , 2012-04-19 , 2012-04-25 , 13 , False
12-1302 , 2012-04-12 , 2012-04-19 , 2012-04-16 , 4 , True
12-1303 , 2012-04-12 , 2012-04-19 , 2012-04-12 , 0 , True
12-1304 , 2012-04-13 , 2012-04-20 , 2012-04-19 , 6 , False
12-1305 , 2012-04-13 , 2012-04-20 , 2012-04-30 , 17 , False
12-1306 , 2012-04-13 , 2012-04-20 , 2012-04-19 , 6 , False
12-1307 , 2012-04-13 , 2012-04-20 , 2012-04-17 , 4 , True
12-1308 , 2012-04-13 , 2012-04-20 , 2012-04-17 , 4 , True
12-1309 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1310 , 2012-04-13 , 2012-04-20 , 2012-04-16 , 3 , True
12-1311 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1312 , 2012-04-13 , 2012-04-20 , 2012-04-17 , 4 , True
12-1313 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1314 , 2012-04-13 , 2012-04-20 , 2012-04-17 , 4 , True
12-1315 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1316 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1317 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1318 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1319 , 2012-04-13 , 2012-04-20 , 2012-04-19 , 6 , False
12-1320 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1321 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1322 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1323 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1324 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1325 , 2012-04-13 , 2012-04-20 , 2012-04-13 , 0 , True
12-1326 , 2012-04-13 , 2012-04-20 , 2012-04-30 , 17 , False
12-1327 , 2012-04-16 , 2012-04-23 , 2012-04-16 , 0 , True
12-1328 , 2012-04-16 , 2012-04-23 , 2012-04-16 , 0 , True
12-1329 , 2012-04-16 , 2012-04-23 , 2012-04-16 , 0 , True
12-1330 , 2012-04-16 , 2012-04-23 , 2012-04-23 , 7 , False
12-1331 , 2012-04-16 , 2012-04-23 , 2012-04-18 , 2 , True
12-1332 , 2012-04-16 , 2012-04-23 , 2012-04-16 , 0 , True
12-1333 , 2012-04-16 , 2012-04-23 , 2012-04-16 , 0 , True
12-1334 , 2012-04-16 , 2012-04-23 , 2012-04-16 , 0 , True
12-1335 , 2012-04-16 , 2012-04-23 , 2012-04-19 , 3 , True
12-1336 , 2012-04-16 , 2012-04-23 , 2012-04-16 , 0 , True
12-1337 , 2012-04-16 , 2012-04-23 , 2012-04-16 , 0 , True
12-1338 , 2012-04-16 , 2012-04-23 , 2012-02-19 , -57 , True
12-1339 , 2012-04-16 , 2012-04-23 , 2012-04-18 , 2 , True
12-1340 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1341 , 2012-04-17 , 2012-04-24 , 2012-04-23 , 6 , False
12-1342 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1343 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1344 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1345 , 2012-04-17 , 2012-04-24 , 2012-04-23 , 6 , False
12-1346 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1347 , 2012-04-17 , 2012-04-24 , 2012-04-24 , 7 , False
12-1348 , 2012-04-17 , 2012-04-24 , 2012-04-18 , 1 , True
12-1349 , 2012-04-17 , 2012-04-24 , 2012-04-24 , 7 , False
12-1350 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1351 , 2012-04-17 , 2012-04-24 , 2012-04-24 , 7 , False
12-1352 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1353 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1354 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1355 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1356 , 2012-04-17 , 2012-04-24 , 2012-04-19 , 2 , True
12-1357 , 2012-04-17 , 2012-04-24 , 2012-04-18 , 1 , True
12-1358 , 2012-04-17 , 2012-04-24 , 2012-04-17 , 0 , True
12-1359 , 2012-04-17 , 2012-04-24 , 2012-04-19 , 2 , True
12-1360 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1361 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1362 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1363 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1364 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1365 , 2012-04-18 , 2012-04-25 , 2012-04-23 , 5 , True
12-1366 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1367 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1368 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1369 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1370 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1371 , 2012-04-18 , 2012-04-25 , 2012-04-19 , 1 , True
12-1372 , 2012-04-18 , 2012-04-25 , 2012-04-19 , 1 , True
12-1373 , 2012-04-18 , 2012-04-25 , 2012-04-19 , 1 , True
12-1374 , 2012-04-18 , 2012-04-25 , 2012-04-23 , 5 , True
12-1375 , 2012-04-18 , 2012-04-25 , 2012-04-18 , 0 , True
12-1376 , 2012-04-18 , 2012-04-25 , 2012-04-19 , 1 , True
12-1377 , 2012-04-19 , 2012-04-26 , 2012-04-26 , 7 , False
12-1378 , 2012-04-19 , 2012-04-26 , 2012-04-25 , 6 , False
12-1379 , 2012-04-19 , 2012-04-26 , 2012-04-25 , 6 , False
12-1380 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1381 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1382 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1383 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1384 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1385 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1386 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1387 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1388 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1389 , 2012-04-19 , 2012-04-26 , 2012-04-23 , 4 , True
12-1390 , 2012-04-19 , 2012-04-26 , 2012-04-25 , 6 , False
12-1391 , 2012-04-19 , 2012-04-26 , 2012-04-23 , 4 , True
12-1392 , 2012-04-19 , 2012-04-26 , 2012-05-01 , 12 , False
12-1393 , 2012-04-19 , 2012-04-26 , 2012-04-23 , 4 , True
12-1394 , 2012-04-19 , 2012-04-26 , 2012-04-19 , 0 , True
12-1395 , 2012-04-19 , 2012-04-26 , 2012-05-02 , 13 , False
12-1396 , 2012-04-19 , 2012-04-26 , 2012-04-20 , 1 , True
12-1397 , 2012-04-19 , 2012-04-26 , 2012-04-23 , 4 , True
12-1398 , 2012-04-19 , 2012-04-26 , 2012-04-25 , 6 , False
12-1399 , 2012-04-20 , 2012-04-27 , 2012-04-20 , 0 , True
12-1400 , 2012-04-20 , 2012-04-27 , 2012-04-27 , 7 , False
12-1401 , 2012-04-20 , 2012-04-27 , 2012-04-30 , 10 , False
12-1402 , 2012-04-20 , 2012-04-27 , 2012-04-24 , 4 , True
12-1403 , 2012-04-20 , 2012-04-27 , 2012-04-23 , 3 , True
12-1404 , 2012-04-20 , 2012-04-27 , 2012-04-23 , 3 , True
12-1405 , 2012-04-20 , 2012-04-27 , 2012-04-26 , 6 , False
12-1406 , 2012-04-20 , 2012-04-27 , 2012-04-26 , 6 , False
12-1407 , 2012-04-20 , 2012-04-27 , 2012-04-23 , 3 , True
12-1408 , 2012-04-20 , 2012-04-27 , 2012-04-20 , 0 , True
12-1409 , 2012-04-20 , 2012-04-27 , 2012-04-20 , 0 , True
12-1410 , 2012-04-20 , 2012-04-27 , 2012-04-20 , 0 , True
12-1411 , 2012-04-20 , 2012-04-27 , 2012-04-20 , 0 , True
12-1412 , 2012-04-20 , 2012-04-27 , 2012-04-20 , 0 , True
12-1413 , 2012-04-20 , 2012-04-27 , 2012-04-23 , 3 , True
12-1414 , 2012-04-20 , 2012-04-27 , 2012-04-26 , 6 , False
12-1415 , 2012-04-20 , 2012-04-27 , 2012-04-26 , 6 , False
12-1416 , 2012-04-23 , 2012-04-30 , 2012-04-25 , 2 , True
12-1417 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1418 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1419 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1420 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1421 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1422 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1423 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1424 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1425 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1426 , 2012-04-23 , 2012-04-30 , 2012-04-23 , 0 , True
12-1427 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1428 , 2012-04-24 , 2012-05-01 , 2012-04-30 , 6 , False
12-1429 , 2012-04-24 , 2012-05-01 , 2012-05-01 , 7 , False
12-1430 , 2012-04-24 , 2012-05-01 , 2012-04-25 , 1 , True
12-1431 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1432 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1433 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1434 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1435 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1436 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1437 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1438 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1439 , 2012-04-24 , 2012-05-01 , 2012-04-30 , 6 , False
12-1440 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1441 , 2012-04-24 , 2012-05-01 , 2012-05-01 , 7 , False
12-1442 , 2012-04-24 , 2012-05-01 , 2012-04-26 , 2 , True
12-1443 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1444 , 2012-04-24 , 2012-05-01 , 2012-04-26 , 2 , True
12-1445 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1446 , 2012-04-24 , 2012-05-01 , 2012-04-24 , 0 , True
12-1447 , 2012-04-24 , 2012-05-01 , 2012-05-08 , 14 , False
12-1448 , 2012-04-25 , 2012-05-02 , 2012-04-25 , 0 , True
12-1449 , 2012-04-25 , 2012-05-02 , 2012-04-25 , 0 , True
12-1450 , 2012-04-25 , 2012-05-02 , 2012-04-25 , 0 , True
12-1451 , 2012-04-25 , 2012-05-02 , 2012-05-09 , 14 , False
12-1452 , 2012-04-25 , 2012-05-02 , 2012-05-02 , 7 , False
12-1453 , 2012-04-25 , 2012-05-02 , 2012-04-25 , 0 , True
12-1454 , 2012-04-25 , 2012-05-02 , 2012-04-25 , 0 , True
12-1455 , 2012-04-25 , 2012-05-02 , 2012-04-25 , 0 , True
12-1456 , 2012-04-25 , 2012-05-02 , 2012-04-26 , 1 , True
12-1457 , 2012-04-25 , 2012-05-02 , 2012-04-25 , 0 , True
12-1458 , 2012-04-25 , 2012-05-02 , 2012-04-26 , 1 , True
12-1459 , 2012-04-25 , 2012-05-02 , 2012-04-26 , 1 , True
12-1460 , 2012-04-25 , 2012-05-02 , 2012-04-25 , 0 , True
12-1461 , 2012-04-25 , 2012-05-02 , 2012-04-25 , 0 , True
